ticker,PC1,PC2,PC3,explained_var_PC1,explained_var_PC2,explained_var_PC3,loading_PC1_sick_frac,loading_PC1_mean_recovery_days,loading_PC1_health_frac,loading_PC1_mean_sick_return,loading_PC2_sick_frac,loading_PC2_mean_recovery_days,loading_PC2_health_frac,loading_PC2_mean_sick_return,loading_PC3_sick_frac,loading_PC3_mean_recovery_days,loading_PC3_health_frac,loading_PC3_mean_sick_return
AAPL,2.4181709775213673,-1.6092113031404593,1.0784900523237115,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
ADBE,-0.911651615018853,-0.45148988802001855,-0.7117263279004539,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
ADI,0.4426165192032484,-0.7150505220453245,-1.5234440909880416,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
ADSK,-0.16020288829758586,1.660156290348779,0.5049113083237191,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
AMAT,1.108781900094113,0.4180459709048265,0.3769210721282016,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
AMD,0.9123765787183882,0.0902736225913343,-0.24791226700372143,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
AMGN,0.006577334748224885,1.458840138899227,-0.15440711181736427,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
AMZN,1.007270299806244,-0.1733344002015306,-0.12667014004367808,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
BA,-1.4805534025212195,-0.6282489659824162,0.3786433652260689,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
BIIB,-1.9279682246187522,-1.2770646308879194,0.12641342486641086,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
BKNG,3.509918400848072,-2.3260079354510843,0.809502938355963,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
CAT,-2.414195260373142,-1.6391697103641112,0.590331019991767,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
COST,0.06716351774303278,1.6949454720002295,0.3154597221852775,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
CSCO,-2.3280309082268014,-0.34609805762645685,0.09714646198684156,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
GILD,0.0810141461794067,0.12520102855092338,-1.2617380103920313,0.5727362288715158,0.23656231681984716,0.14140059728566667,0.5893337575485249,0.4491193140749685,-0.5238945761815872,-0.4201333561931043,-0.2245288729483572,0.4898301212147452,-0.4188152066761679,0.7309220616591676,-0.32052717376845635,0.7381918315710403,0.512465980470333,-0.29952256933055943
