ticker,PC1,PC2,PC3,explained_var_PC1,explained_var_PC2,explained_var_PC3,loading_PC1_sick_frac,loading_PC1_mean_recovery_days,loading_PC1_health_frac,loading_PC1_mean_sick_return,loading_PC2_sick_frac,loading_PC2_mean_recovery_days,loading_PC2_health_frac,loading_PC2_mean_sick_return,loading_PC3_sick_frac,loading_PC3_mean_recovery_days,loading_PC3_health_frac,loading_PC3_mean_sick_return
AAPL,-0.5881511043048439,0.8715976551235081,0.3886038627875101,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
ADBE,-1.0586797981777838,-0.22640506718849174,-0.9910168026730395,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
ADI,-0.2570188212430518,0.27803894745246654,0.8928946386362318,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
ADSK,-1.5862439181365773,0.5389122319218951,-0.19252897074069805,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
AMAT,0.06726101343270703,-0.4204723479576401,1.4323022732985222,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
AMD,-2.001396552858266,-0.15439075314532297,-0.2662392211350807,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
AMGN,-0.7980372074146378,1.2807336770235846,0.17063473008277036,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
AMZN,-0.3956279582269356,-1.1291321136092638,-0.51311801301692,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
BA,-0.10130008052776922,1.080709560611321,0.48078217075629315,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
BIIB,0.08873884508353663,0.6242600092917654,-0.7941107898186075,0.5113115150859909,0.258708538112412,0.1662330734359258,-0.6021582972255684,-0.478012545444627,0.6364734711552137,0.061732584552934996,-0.14061902604277499,0.29366170677854314,-0.0041936280260968795,0.9455006636542743,-0.4430073557386288,0.8095918661289969,0.21959180637744347,-0.3163620262154222
